,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
3,3,AL - 2011,AL,2011,8571,7199,1196,166,10,3319,4740,193,1,33,0,0,243,0.8399253295998134,0.13954031034885078,0.01936763504841909,0.0011667250029168126,0.3872360284680901,0.5530276513825692,0.02251779255629448,0.00011667250029168125,0.0038501925096254812,0.0,0.0,0.028351417570878543
14,14,AR - 2011,AR,2011,2642,2225,398,19,0,1142,1024,100,3,9,0,110,0,0.8421650264950795,0.1506434519303558,0.007191521574564723,0.0,0.43224829674489024,0.38758516275548827,0.03785011355034065,0.0011355034065102195,0.0034065102195306586,0.0,0.04163512490537472,0.0
25,25,AZ - 2011,AZ,2011,11945,10087,1683,164,11,4940,1445,4529,839,100,2,0,43,0.8444537463373797,0.14089577228966094,0.013729593972373378,0.0009208874005860193,0.4135621598995395,0.12097111762243615,0.3791544579321892,0.0702385935537882,0.008371703641691083,0.00016743407283382168,0.0,0.0035998325659271657
38,38,CA - 2011,CA,2011,68222,59637,8585,0,0,17393,13605,28369,373,1089,163,38,1287,0.8741608278854328,0.12583917211456716,0.0,0.0,0.2549470845181906,0.1994224736888394,0.4158336020638504,0.0054674445193632565,0.015962592712028382,0.002389258596933541,0.0005570050716777579,0.018864882296033537
49,49,CO - 2011,CO,2011,9498,8178,1313,7,0,2891,998,819,28,46,1,10,947,0.8610233733417562,0.13823962939566226,0.0007369972625815961,0.0,0.3043798694461992,0.10507475257949042,0.08622867972204674,0.0029479890503263844,0.004843124868393346,0.0001052853232259423,0.0010528532322594231,0.09970520109496736
60,60,DC - 2011,DC,2011,3168,2884,246,37,1,66,2923,132,0,5,0,0,1,0.9103535353535354,0.07765151515151515,0.01167929292929293,0.0003156565656565657,0.02083333333333333,0.9226641414141414,0.04166666666666666,0.0,0.0015782828282828285,0.0,0.0,0.0003156565656565657
71,71,FL - 2011,FL,2011,52378,44336,7448,576,18,23442,18397,2552,11,42,20,0,11,0.84646225514529,0.14219710565504598,0.010996983466340829,0.00034365573332315096,0.44755431669785023,0.3512352514414449,0.04872274619114896,0.00021001183703081447,0.0008018633777540187,0.00038183970369238987,0.0,0.00021001183703081447
82,82,GA - 2011,GA,2011,36184,31561,4217,240,34,9502,17894,1607,15,87,11,41,4,0.8722363475569312,0.1165432235242096,0.006632765863365022,0.0009396418306433784,0.26260225514039354,0.4945279681627239,0.04441189476011497,0.000414547866460314,0.002404377625469821,0.0003040017687375636,0.0011330975016581913,0.00011054609772275039
93,93,IA - 2011,IA,2011,2058,1759,284,15,0,1136,493,362,41,21,0,0,0,0.8547133138969873,0.1379980563654033,0.00728862973760933,0.0,0.5519922254616132,0.23955296404276,0.1758989310009718,0.01992225461613217,0.010204081632653059,0.0,0.0,0.0
104,104,ID - 2011,ID,2011,2170,1728,441,1,0,1145,66,259,20,14,0,0,0,0.7963133640552995,0.2032258064516129,0.0004608294930875576,0.0,0.5276497695852534,0.030414746543778806,0.11935483870967742,0.009216589861751152,0.0064516129032258064,0.0,0.0,0.0
