,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
9,9,AL - 2017,AL,2017,6221,5231,958,30,2,3170,2863,157,7,12,4,0,7,0.8408615978138563,0.153994534640733,0.0048223758238225365,0.00032149172158816913,0.509564378717248,0.4602153994534641,0.025237100144671273,0.001125221025558592,0.0019289503295290146,0.0006429834431763383,0.0,0.001125221025558592
20,20,AR - 2017,AR,2017,3472,2828,627,17,0,1997,1162,158,12,23,13,5,0,0.8145161290322581,0.18058755760368664,0.004896313364055299,0.0,0.5751728110599078,0.3346774193548387,0.04550691244239631,0.0034562211981566822,0.0066244239631336405,0.0037442396313364045,0.0014400921658986176,0.0
31,31,AZ - 2017,AZ,2017,12394,10398,1885,105,6,6592,1937,2754,970,59,1,0,0,0.8389543327416492,0.15208972083266095,0.008471841213490398,0.00048410521219945134,0.5318702598031305,0.15628529933838956,0.22220429239954814,0.07826367597224464,0.004760367919961272,8.068420203324189e-05,0.0,0.0
44,44,CA - 2017,CA,2017,76490,66275,10215,0,0,22700,15842,33697,603,1286,374,165,997,0.8664531311282521,0.13354686887174794,0.0,0.0,0.2967708197149954,0.2071120407896457,0.4405412472218591,0.007883383448816839,0.016812655249052164,0.004889528042881422,0.002157144724800628,0.013034383579552885
55,55,CO - 2017,CO,2017,7282,6052,1230,0,0,3520,1828,1745,42,42,9,0,0,0.8310903597912661,0.16890964020873386,0.0,0.0,0.4833836858006042,0.25102993683054103,0.23963196923921998,0.005767646251029937,0.005767646251029937,0.0012359241966492722,0.0,0.0
66,66,DC - 2017,DC,2017,1919,1737,165,17,0,35,1772,98,0,4,0,0,0,0.9051589369463262,0.0859822824387702,0.008858780614903595,0.0,0.018238665971860343,0.9233976029181864,0.05106826472120896,0.0,0.0020844189682126106,0.0,0.0,0.0
77,77,FL - 2017,FL,2017,44706,37415,6912,367,12,20719,17015,4142,20,61,0,23,36,0.8369122712834967,0.15461011944705408,0.008209188923187043,0.0002684203462622467,0.4634500961839574,0.3805976826376773,0.09264975618485216,0.00044736724377041125,0.001364470093499754,0.0,0.0005144723303359729,0.00080526103878674
88,88,GA - 2017,GA,2017,31260,26876,4148,212,24,12997,15314,2165,11,327,4,403,4,0.8597568777991043,0.1326935380678183,0.006781829814459373,0.0007677543186180423,0.4157709532949456,0.4898912348048625,0.06925783749200255,0.00035188739603326933,0.010460652591170823,0.00012795905310300704,0.012891874600127959,0.00012795905310300704
99,99,IA - 2017,IA,2017,2133,1832,297,4,0,1208,651,216,25,30,0,3,0,0.8588842006563525,0.13924050632911392,0.0018752930145335212,0.0,0.5663384903891233,0.3052039381153305,0.10126582278481013,0.011720581340834505,0.014064697609001406,0.0,0.0014064697609001409,0.0
110,110,ID - 2017,ID,2017,2874,2276,596,2,0,2159,97,455,76,20,6,2,0,0.7919276270006959,0.20737647877522614,0.0006958942240779402,0.0,0.7512178148921363,0.0337508698677801,0.1583159359777314,0.026443980514961725,0.006958942240779403,0.0020876826722338203,0.0006958942240779402,0.0
121,121,IL - 2017,IL,2017,12094,10980,1114,0,0,2514,7625,1806,11,94,5,7,0,0.9078882090292708,0.09211179097072927,0.0,0.0,0.2078716719034232,0.6304779229369936,0.14933024640317513,0.0009095419216140236,0.007772449148338019,0.0004134281461881925,0.0005787994046634696,0.0
132,132,IN - 2017,IN,2017,9285,7578,1652,51,4,5746,2882,605,4,29,1,2,0,0.8161550888529887,0.1779213785675821,0.005492730210016155,0.00043080236941303183,0.6188476036618201,0.3103931071620894,0.06515885837372105,0.00043080236941303183,0.0031233171782444804,0.00010770059235325796,0.00021540118470651592,0.0
143,143,KS - 2017,KS,2017,3648,3128,520,0,0,1991,1135,463,20,22,1,8,0,0.8574561403508771,0.1425438596491228,0.0,0.0,0.5457785087719298,0.3111293859649123,0.1269188596491228,0.005482456140350878,0.006030701754385965,0.00027412280701754384,0.0021929824561403508,0.0
154,154,KY - 2017,KY,2017,14233,11532,2701,0,0,10128,3476,529,12,36,0,15,0,0.8102297477692686,0.1897702522307314,0.0,0.0,0.7115857514227499,0.24422117613995645,0.03716714677158715,0.0008431110798847747,0.0025293332396543245,0.0,0.0010538888498559686,0.0
165,165,LA - 2017,LA,2017,22427,19897,2420,107,3,8081,12769,229,29,33,5,230,8,0.8871895483123021,0.10790564944040663,0.004771034913274178,0.00013376733401703302,0.36032460873054795,0.5693583626878316,0.01021090649663352,0.0012930842288313195,0.0014714406741873633,0.00022294555669505507,0.010255495607972532,0.00035671289071208815
176,176,MA - 2017,MA,2017,7629,7164,465,0,0,3051,1856,2294,7,55,42,4,7,0.9390483680692095,0.0609516319307904,0.0,0.0,0.3999213527329925,0.2432822126097785,0.3006947175252327,0.0009175514484205008,0.00720933280901822,0.005505308690523005,0.0005243151133831434,0.0009175514484205008
187,187,MD - 2017,MD,2017,7327,6390,887,50,0,2423,4422,336,7,33,0,8,78,0.8721168281697829,0.12105909649242527,0.006824075337791729,0.0,0.3306946908693872,0.6035212228743005,0.04585778626996042,0.000955370547290842,0.0045038897229425405,0.0,0.0010918520540466768,0.0106455575269551
198,198,ME - 2017,ME,2017,364,316,48,0,0,292,40,22,3,1,0,5,0,0.8681318681318682,0.13186813186813187,0.0,0.0,0.8021978021978022,0.10989010989010987,0.06043956043956044,0.008241758241758242,0.0027472527472527475,0.0,0.013736263736263736,0.0
209,209,MI - 2017,MI,2017,10213,8608,1495,89,21,4677,4696,241,27,20,0,0,0,0.8428473514148634,0.14638206207774404,0.008714383628708508,0.00205620287868403,0.4579457554097718,0.4598061294428669,0.023597375893469108,0.002643689415450896,0.0019582884558895525,0.0,0.0,0.0
220,220,MN - 2017,MN,2017,3470,2986,476,8,0,1402,1095,84,202,84,8,36,155,0.8605187319884726,0.1371757925072046,0.002305475504322767,0.0,0.4040345821325648,0.31556195965417866,0.02420749279538905,0.058213256484149864,0.02420749279538905,0.002305475504322767,0.01037463976945245,0.0446685878962536
231,231,MO - 2017,MO,2017,5793,4945,788,54,6,2729,2896,142,3,17,3,0,2,0.853616433626791,0.13602623856378387,0.009321595028482652,0.0010357327809425167,0.4710857931986881,0.4999136889349214,0.024512342482306236,0.0005178663904712584,0.0029345762126704645,0.0005178663904712584,0.0,0.00034524426031417227
242,242,MS - 2017,MS,2017,6767,6084,649,34,0,2691,3415,76,8,13,0,0,0,0.8990690113787498,0.09590660558593173,0.005024383035318457,0.0,0.3976651396482932,0.5046549431062509,0.011230973843653022,0.0011822077730161075,0.0019210876311511747,0.0,0.0,0.0
253,253,MT - 2017,MT,2017,1016,864,141,8,3,719,24,20,237,2,4,7,0,0.8503937007874016,0.13877952755905512,0.007874015748031496,0.002952755905511811,0.7076771653543307,0.023622047244094488,0.01968503937007874,0.2332677165354331,0.001968503937007874,0.003937007874015748,0.006889763779527559,0.0
264,264,NC - 2017,NC,2017,9590,8082,1266,225,17,3399,5394,535,56,19,3,1,173,0.8427528675703858,0.13201251303441086,0.02346193952033368,0.0017726798748696558,0.3544316996871741,0.5624608967674661,0.055787278415015636,0.00583941605839416,0.001981230448383733,0.00031282586027111576,0.00010427528675703858,0.018039624608967682
275,275,ND - 2017,ND,2017,1068,877,191,0,0,544,163,100,256,2,0,1,0,0.8211610486891385,0.17883895131086142,0.0,0.0,0.5093632958801498,0.15262172284644196,0.09363295880149812,0.2397003745318352,0.0018726591760299626,0.0,0.0009363295880149813,0.0
286,286,NE - 2017,NE,2017,1538,1313,225,0,0,651,549,267,52,16,0,2,0,0.85370611183355,0.14629388816644995,0.0,0.0,0.4232769830949285,0.35695708712613783,0.17360208062418725,0.033810143042912875,0.010403120936280884,0.0,0.0013003901170351106,0.0
297,297,NH - 2017,NH,2017,1016,834,182,0,0,734,135,107,5,5,0,0,0,0.8208661417322834,0.17913385826771652,0.0,0.0,0.7224409448818898,0.1328740157480315,0.10531496062992124,0.004921259842519685,0.004921259842519685,0.0,0.0,0.0
308,308,NJ - 2017,NJ,2017,9266,8451,814,1,0,2292,4405,2327,15,68,26,40,64,0.9120440319447444,0.08784804662205914,0.00010792143319663283,0.0,0.2473559248866825,0.4753939132311677,0.25113317504856464,0.0016188214979494927,0.0073386574573710344,0.002805957263112454,0.004316857327865314,0.006906971724584502
319,319,NM - 2017,NM,2017,3991,3346,632,11,2,1024,225,2265,363,6,0,63,3,0.8383863693309948,0.15835630167877726,0.002756201453269857,0.0005011275369581559,0.2565772989225758,0.056376847907792536,0.5675269356051115,0.09095464795790527,0.0015033826108744675,0.0,0.01578551741418191,0.0007516913054372337
330,330,NV - 2017,NV,2017,6506,5383,1098,25,0,2650,1930,1141,65,186,0,0,0,0.8273901014448202,0.16876729173071012,0.0038426068244697205,0.0,0.4073163233937904,0.2966492468490624,0.17537657546879806,0.009990777743621271,0.02858899477405472,0.0,0.0,0.0
341,341,NY - 2017,NY,2017,15995,14128,1574,273,20,3688,7895,3808,34,172,0,0,364,0.8832760237574242,0.0984057517974367,0.017067833698030634,0.0012503907471084713,0.2305720537668021,0.4935917474210691,0.2380743982494529,0.002125664270084401,0.010753360425132854,0.0,0.0,0.022757111597374174
