,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
2,2,AL - 2010,AL,2010,9146,7782,1299,64,1,3485,4752,255,7,9,0,2,368,0.8508637655805816,0.14202930242729062,0.006997594576864203,0.00010933741526350319,0.38104089219330856,0.5195713973321671,0.027881040892193308,0.0007653619068445223,0.0009840367373715286,0.0,0.00021867483052700638,0.04023616881696917
13,13,AR - 2010,AR,2010,3343,2854,449,35,5,1437,1076,108,0,2,0,128,0,0.8537241998205205,0.13431049955130125,0.010469638049655998,0.0014956625785222854,0.4298534250673048,0.3218665868979958,0.03230631169608136,0.0,0.0005982650314089143,0.0,0.038288962010170506,0.0
24,24,AZ - 2010,AZ,2010,12127,10362,1596,155,14,4778,1436,4912,843,73,0,0,64,0.8544569967840356,0.13160715758225447,0.012781396882988374,0.0011544487507215305,0.393996866496248,0.1184134575740084,0.4050465902531541,0.06951430691844644,0.006019625628762266,0.0,0.0,0.005277480003298425
37,37,CA - 2010,CA,2010,71496,62643,8853,0,0,15916,13813,24917,320,837,236,21,1087,0.8761748909029876,0.1238251090970124,0.0,0.0,0.22261385252321808,0.19319961955913614,0.3485090074969229,0.004475774868524113,0.011706948640483385,0.0033008839655365337,0.00029372272574689493,0.015203647756517847
48,48,CO - 2010,CO,2010,10357,8912,1426,19,0,2863,1021,1428,37,48,1,30,1167,0.8604808342184029,0.13768465771941682,0.001834508062180168,0.0,0.2764313990537801,0.09858067007820798,0.13787776383122527,0.003572463068456117,0.00463454668340253,9.655305590421936e-05,0.002896591677126581,0.112677416240224
59,59,DC - 2010,DC,2010,3071,2724,313,34,0,82,2786,159,0,4,0,0,23,0.8870074894171279,0.10192119830674047,0.011071312276131551,0.0,0.026701400195376097,0.9071963529794856,0.05177466623249756,0.0,0.0013025073266037122,0.0,0.0,0.0074894171279713435
70,70,FL - 2010,FL,2010,55185,46765,7711,679,30,22138,19117,2691,16,58,15,34,1639,0.8474223067862644,0.1397299990939567,0.012304068134456829,0.0005436259853220984,0.4011597354353538,0.3464165987134185,0.04876325088339223,0.0002899338588384525,0.0010510102382893902,0.0002718129926610492,0.0006161094500317115,0.029700099664763974
81,81,GA - 2010,GA,2010,36006,31722,4076,190,18,9500,18359,2078,65,90,2,31,10,0.8810198300283286,0.11320335499638948,0.005276898294728657,0.0004999166805532411,0.2638449147364328,0.5098872410153863,0.05771260345497972,0.0018052546797755926,0.002499583402766205,5.554629783924901e-05,0.0008609676165083598,0.000277731489196245
92,92,IA - 2010,IA,2010,1979,1679,291,8,1,315,106,137,18,13,0,0,0,0.8484082870136432,0.14704396159676605,0.004042445679636179,0.0005053057099545224,0.1591712986356746,0.05356240525517938,0.06922688226376958,0.009095502779181405,0.006568974229408792,0.0,0.0,0.0
103,103,ID - 2010,ID,2010,2064,1627,435,2,0,1286,56,290,23,8,0,0,5,0.7882751937984496,0.2107558139534884,0.0009689922480620156,0.0,0.623062015503876,0.027131782945736437,0.14050387596899225,0.011143410852713179,0.0038759689922480615,0.0,0.0,0.002422480620155039
114,114,IL - 2010,IL,2010,15899,14252,1370,268,9,2556,2568,927,2,51,0,4,0,0.8964085791559218,0.08616894144285804,0.016856406063274418,0.0005660733379457827,0.1607648279766023,0.16151959242719668,0.05830555380841562,0.00012579407509906286,0.0032077489150261025,0.0,0.0002515881501981257,0.0
125,125,IN - 2010,IN,2010,9992,8789,1139,61,3,4159,2572,325,4,14,0,3,312,0.8796036829463569,0.1139911929543635,0.0061048839071257,0.00030024019215372296,0.4162329863891113,0.25740592473979185,0.032526020816653324,0.000400320256204964,0.0014011208967173738,0.0,0.00030024019215372296,0.031224979983987187
136,136,KS - 2010,KS,2010,3778,3284,492,2,0,1952,1177,438,14,35,0,0,1,0.8692429857067231,0.13022763366860773,0.0005293806246691371,0.0,0.5166754896770778,0.3115404976177872,0.11593435680254102,0.00370566437268396,0.0092641609317099,0.0,0.0,0.00026469031233456857
147,147,KY - 2010,KY,2010,11489,9684,1805,0,0,7659,3063,451,3,6,0,3,55,0.8428932021934024,0.1571067978065976,0.0,0.0,0.6666376534076073,0.266602837496736,0.03925493950735486,0.00026111933153451125,0.0005222386630690225,0.0,0.00026111933153451125,0.004787187744799372
158,158,LA - 2010,LA,2010,26096,23481,2489,118,8,5762,13796,610,21,40,6,1,6,0.8997930717351318,0.09537860208461067,0.004521765787860208,0.00030656039239730225,0.22080012262415696,0.5286633966891477,0.023375229920294296,0.0008047210300429185,0.0015328019619865116,0.00022992029429797672,3.832004904966278e-05,0.00022992029429797672
169,169,MA - 2010,MA,2010,12439,11899,493,46,1,4209,2712,2727,10,109,4,2,255,0.9565881501728436,0.03963341104590401,0.0036980464667577782,8.03923144947343e-05,0.3383712517083367,0.21802395690971946,0.21922984162714046,0.000803923144947343,0.008762762279926041,0.0003215692579789372,0.0001607846289894686,0.020500040196157247
180,180,MD - 2010,MD,2010,7843,6913,762,160,8,1941,5570,228,7,1,9,0,22,0.8814229249011858,0.09715670024225424,0.02040035700624761,0.0010200178503123804,0.2474818309320413,0.7101874282799949,0.029070508733902843,0.0008925156190233328,0.00012750223128904755,0.0011475200816014278,0.0,0.002805049088359046
191,191,ME - 2010,ME,2010,900,396,54,0,0,415,20,8,5,1,0,0,0,0.44,0.06,0.0,0.0,0.4611111111111112,0.022222222222222227,0.008888888888888889,0.005555555555555557,0.0011111111111111113,0.0,0.0,0.0
202,202,MI - 2010,MI,2010,10338,7681,1262,1386,9,4158,3052,368,18,27,0,0,0,0.7429870381118204,0.1220739021087251,0.13406848520023215,0.0008705745792222867,0.4022054556006965,0.2952215128651577,0.035596827239311284,0.0017411491584445734,0.00261172373766686,0.0,0.0,0.0
213,213,MN - 2010,MN,2010,4106,3619,479,8,0,1343,777,244,241,68,1,1,124,0.8813930832927424,0.11665854846566,0.001948368241597662,0.0,0.3270823185582075,0.1892352654651729,0.05942523136872869,0.058694593278129564,0.016561130053580127,0.00024354603019970773,0.00024354603019970773,0.030199707744763764
224,224,MO - 2010,MO,2010,5297,4611,604,80,2,1720,1791,212,0,10,2,1,2,0.8704927317349443,0.11402680762695865,0.015102888427411743,0.0003775722106852936,0.32471210118935245,0.3381159146686804,0.04002265433264112,0.0,0.001887861053426468,0.0003775722106852936,0.0001887861053426468,0.0003775722106852936
235,235,MS - 2010,MS,2010,6919,5998,616,64,4,1937,3679,77,4,16,1,0,312,0.8668882786529846,0.0890302066772655,0.00924989160283278,0.0005781182251770487,0.27995375054198585,0.5317242376065906,0.011128775834658187,0.0005781182251770487,0.002312472900708195,0.0001445295562942622,0.0,0.0450932215638098
246,246,MT - 2010,MT,2010,481,397,84,0,0,35,1,3,25,0,0,0,0,0.8253638253638254,0.17463617463617465,0.0,0.0,0.07276507276507277,0.002079002079002079,0.0062370062370062365,0.05197505197505198,0.0,0.0,0.0,0.0
257,257,NC - 2010,NC,2010,10532,9058,1096,213,32,2553,3958,370,202,10,11,0,1,0.8600455753892898,0.1040638055450057,0.020224078997341438,0.003038359285985568,0.2424041017850361,0.3758070641853399,0.035131029244208134,0.019179642992783897,0.00094948727687049,0.001044436004557539,0.0,9.4948727687049e-05
268,268,ND - 2010,ND,2010,491,403,68,13,7,223,24,14,230,0,0,0,0,0.8207739307535642,0.1384928716904277,0.026476578411405296,0.014256619144602854,0.4541751527494908,0.048879837067209775,0.028513238289205708,0.4684317718940937,0.0,0.0,0.0,0.0
279,279,NE - 2010,NE,2010,1812,1567,245,0,0,736,656,343,60,13,0,1,3,0.8647902869757175,0.13520971302428256,0.0,0.0,0.40618101545253865,0.3620309050772627,0.1892935982339956,0.03311258278145696,0.007174392935982341,0.0,0.0005518763796909492,0.0016556291390728475
290,290,NH - 2010,NH,2010,1230,1064,153,13,0,1011,100,115,1,2,0,0,1,0.865040650406504,0.12439024390243902,0.01056910569105691,0.0,0.8219512195121951,0.08130081300813008,0.0934959349593496,0.0008130081300813008,0.0016260162601626016,0.0,0.0,0.0008130081300813008
301,301,NJ - 2010,NJ,2010,14197,12839,1345,13,0,2842,6468,3103,23,114,12,0,22,0.9043459885891384,0.09473832499823906,0.0009156864126223849,0.0,0.2001831372825245,0.4555892089878144,0.21856730295132776,0.0016200605761780658,0.00802986546453476,0.0008452489962668169,0.0,0.0015496231598224974
312,312,NM - 2010,NM,2010,6559,5876,656,22,5,1884,425,2918,646,16,1,25,0,0.8958682726025309,0.10001524622655893,0.0033541698429638664,0.0007623113279463332,0.2872389083701784,0.06479646287543832,0.4448848909894801,0.09849062357066626,0.0024393962494282666,0.00015246226558926666,0.0038115566397316654,0.0
323,323,NV - 2010,NV,2010,6040,5043,962,32,3,2093,1512,1449,48,109,1,0,0,0.8349337748344371,0.15927152317880794,0.0052980132450331134,0.0004966887417218543,0.34652317880794703,0.2503311258278146,0.23990066225165566,0.007947019867549669,0.01804635761589404,0.00016556291390728477,0.0,0.0
