,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
6,6,AL - 2014,AL,2014,8122,6919,1143,71,9,3571,4248,204,0,21,0,44,3,0.8518837724698349,0.14072888451120413,0.00874168923910367,0.001108101452844127,0.43967003201181976,0.523023885742428,0.02511696626446688,0.0,0.0025855700566362965,0.0,0.0054173848805712885,0.00036936715094804237
17,17,AR - 2014,AR,2014,3198,2706,470,20,0,1483,1469,37,1,15,0,0,0,0.8461538461538461,0.14696685428392744,0.006253908692933083,0.0,0.4637273295809881,0.459349593495935,0.011569731081926205,0.00031269543464665416,0.004690431519699814,0.0,0.0,0.0
28,28,AZ - 2014,AZ,2014,13102,11077,1939,80,6,5912,1788,4382,811,85,54,0,53,0.8454434437490459,0.14799267287437032,0.0061059380247290495,0.0004579453518546786,0.4512288200274767,0.13646771485269424,0.3344527553045337,0.061898946725690726,0.006487559151274615,0.0041215081666921075,0.0,0.004045183941382995
41,41,CA - 2014,CA,2014,84115,72001,12105,9,0,24667,16412,33546,516,1552,263,34,1562,0.8559828805801581,0.14391012304583012,0.0001069963740117696,0.0,0.29325328419425783,0.1951138322534625,0.3988111513998692,0.00613445877667479,0.0184509302740296,0.003126671818343934,0.0004042085240444629,0.01856981513404268
52,52,CO - 2014,CO,2014,10026,8359,1667,0,0,4437,1461,1790,87,61,4,16,911,0.8337322960303212,0.16626770396967885,0.0,0.0,0.44254937163375213,0.1457211250748055,0.17853580690205464,0.008677438659485339,0.006084181129064433,0.0003989626969878317,0.0015958507879513266,0.09086375423897866
63,63,DC - 2014,DC,2014,2237,2051,173,13,0,61,2038,96,0,8,0,0,10,0.9168529280286096,0.0773357174787662,0.00581135449262405,0.0,0.02726866338846669,0.9110415735359856,0.042914617791685296,0.0,0.003576218149307108,0.0,0.0,0.004470272686633884
74,74,FL - 2014,FL,2014,48618,40728,7401,458,31,22546,17736,2120,11,46,3,3,81,0.8377144267555227,0.1522275700357892,0.00942037928339298,0.0006376239252951581,0.4637377103130528,0.3648031593237073,0.04360524908470114,0.0002262536509111852,0.0009461516310831381,6.170554115759594e-05,6.170554115759594e-05,0.0016660496112550908
85,85,GA - 2014,GA,2014,32257,27336,4416,276,36,9776,14392,1352,13,89,3,5,0,0.8474439656508664,0.13690051771708467,0.008556282357317792,0.001116036829215364,0.3030660011780389,0.4461667235018756,0.04191338314164368,0.0004030132994388815,0.00275909105000465,9.300306910128034e-05,0.00015500511516880057,0.0
96,96,IA - 2014,IA,2014,2017,1703,309,5,0,898,381,280,23,18,0,10,0,0.8443232523549826,0.15319781854238967,0.002478929102627665,0.0,0.4452156668319286,0.18889439762022808,0.13882002974714924,0.011403073872087258,0.008924144769459593,0.0,0.00495785820525533,0.0
107,107,ID - 2014,ID,2014,2188,1668,520,0,0,1255,53,314,20,1,0,10,7,0.7623400365630713,0.2376599634369287,0.0,0.0,0.573583180987203,0.02422303473491773,0.14351005484460694,0.009140767824497258,0.0004570383912248629,0.0,0.004570383912248629,0.003199268738574041
118,118,IL - 2014,IL,2014,14514,4350,644,5,1,3374,8985,2065,11,60,4,12,0,0.2997106242248863,0.04437095218409811,0.0003444949703734325,6.889899407468653e-05,0.2324652060079923,0.6190574617610582,0.14227642276422764,0.0007578889348215516,0.0041339396444811894,0.0002755959762987461,0.0008267879288962381,0.0
129,129,IN - 2014,IN,2014,8529,7255,1240,48,2,4109,2635,285,4,14,4,6,0,0.8506272716613905,0.14538632899519288,0.005627857896588111,0.00023449407902450463,0.4817680853558448,0.30894594911478485,0.03341540626099191,0.00046898815804900925,0.0016414585531715324,0.00046898815804900925,0.0007034822370735139,0.0
