,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
8,8,AL - 2016,AL,2016,6228,5277,917,33,1,3012,2825,257,7,18,0,54,2,0.8473025048169557,0.1472382787411689,0.005298651252408478,0.00016056518946692356,0.4836223506743738,0.4535966602440591,0.04126525369299936,0.0011239563262684651,0.0028901734104046237,0.0,0.008670520231213872,0.0003211303789338471
19,19,AR - 2016,AR,2016,2939,2413,509,17,0,1562,281,84,10,7,0,0,10,0.8210275603946919,0.173188159237836,0.005784280367471929,0.0,0.5314732902347737,0.09561075195644778,0.028581150051037767,0.003402517863218782,0.002381762504253148,0.0,0.0,0.003402517863218782
30,30,AZ - 2016,AZ,2016,11854,9886,1864,93,11,6367,2038,2430,881,63,1,0,0,0.8339800911084866,0.1572464990720432,0.007845453011641641,0.0009279568078285812,0.5371182723131432,0.17192508857769528,0.2049940948203138,0.07432090433608908,0.0053146617175636925,8.435970980259827e-05,0.0,0.0
43,43,CA - 2016,CA,2016,74014,64198,9815,1,0,22503,14925,32316,587,1691,341,304,123,0.8673764422947009,0.13261004674791255,1.3510957386440406e-05,0.0,0.3040370740670684,0.20165103899262304,0.4366200989002081,0.007930931985840517,0.022847028940470717,0.004607236468776177,0.004107331045477882,0.0016618477585321695
54,54,CO - 2016,CO,2016,9645,8120,1525,0,0,4752,2083,2670,57,48,16,0,1,0.8418869880767237,0.15811301192327631,0.0,0.0,0.4926905132192846,0.21596682218766197,0.27682737169517885,0.005909797822706065,0.004976671850699844,0.0016588906168999481,0.0,0.00010368066355624677
65,65,DC - 2016,DC,2016,1831,1690,128,13,0,59,1665,88,0,4,0,5,0,0.922992900054615,0.06990715456034953,0.0070999453850355,0.0,0.03222282905516111,0.9093391589295466,0.0480611687602403,0.0,0.0021845985800109232,0.0,0.002730748225013654,0.0
76,76,FL - 2016,FL,2016,44437,37299,6643,465,30,19197,16843,4968,28,74,28,47,0,0.8393680941557711,0.14949254000045006,0.010464252762337692,0.0006751130814411412,0.4320048608141864,0.3790309876904381,0.111798726286653,0.0006301055426783986,0.001665278934221482,0.0006301055426783986,0.0010576771609244547,0.0
87,87,GA - 2016,GA,2016,32373,28007,3970,339,57,11220,18822,2067,20,139,3,43,13,0.8651345256849844,0.12263305841287493,0.01047168937077194,0.0017607265313687333,0.34658511722731905,0.5814104346214438,0.0638495042164767,0.0006177987829363977,0.004293701541407963,9.266981744045964e-05,0.0013282673833132548,0.0004015692089086584
98,98,IA - 2016,IA,2016,2062,1749,312,1,0,1173,605,222,36,15,0,8,0,0.8482056256062076,0.1513094083414161,0.0004849660523763337,0.0,0.5688651794374394,0.29340446168768186,0.10766246362754607,0.017458777885548008,0.0072744907856450046,0.0,0.003879728419010669,0.0
109,109,ID - 2016,ID,2016,2629,2082,547,0,0,2049,86,302,76,13,3,0,0,0.7919360973754279,0.20806390262457208,0.0,0.0,0.7793837961201978,0.032712057816660325,0.11487257512362115,0.028908330163560286,0.00494484594903005,0.0011411182959300116,0.0,0.0
