,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
120,120,IL - 2016,IL,2016,12325,11289,1036,0,0,2687,7631,1816,71,76,0,1,22,0.9159432048681542,0.08405679513184584,0.0,0.0,0.21801217038539555,0.6191480730223123,0.14734279918864096,0.005760649087221095,0.00616632860040568,0.0,8.113590263691683e-05,0.0017849898580121703
131,131,IN - 2016,IN,2016,9323,7757,1496,64,6,5230,3363,474,11,11,0,160,63,0.8320283170653223,0.1604633701598198,0.006864743108441489,0.0006435696664163896,0.5609782258929529,0.3607207980263864,0.050842003646894784,0.0011798777217633806,0.0011798777217633806,0.0,0.017161857771103718,0.006757481497372091
142,142,KS - 2016,KS,2016,3439,2934,505,0,0,1934,1036,405,25,30,1,7,0,0.8531549869148009,0.14684501308519918,0.0,0.0,0.5623727827856935,0.30125036347775513,0.11776679267228846,0.007269555103227681,0.008723466123873218,0.00029078220412910734,0.002035475428903751,0.0
153,153,KY - 2016,KY,2016,13150,10651,2499,0,0,9281,3260,514,14,36,0,0,18,0.8099619771863118,0.1900380228136882,0.0,0.0,0.7057794676806084,0.2479087452471483,0.03908745247148289,0.0010646387832699618,0.0027376425855513307,0.0,0.0,0.0013688212927756654
164,164,LA - 2016,LA,2016,22734,20157,2446,124,7,7473,13438,260,26,28,1,118,8,0.8866455529163367,0.10759215272279406,0.00545438550189144,0.00030790885897774263,0.3287147004486672,0.5910970352775579,0.011436614762030438,0.0011436614762030438,0.0012316354359109705,4.3986979853963235e-05,0.0051904636227676606,0.0003518958388317059
175,175,MA - 2016,MA,2016,8947,8456,491,0,0,3649,1961,2399,10,97,1,352,1,0.9451212696993404,0.054878730300659435,0.0,0.0,0.4078462054319884,0.2191796132781938,0.2681345702470101,0.0011176930814798256,0.010841622890354308,0.00011176930814798257,0.039342796468089865,0.00011176930814798257
186,186,MD - 2016,MD,2016,6526,5741,741,43,1,2093,3702,182,6,44,0,2,0,0.8797119215445909,0.11354581673306773,0.006589028501379099,0.00015323322096230462,0.3207171314741036,0.5672693840024517,0.027888446215139442,0.0009193993257738275,0.006742261722341404,0.0,0.00030646644192460924,0.0
197,197,ME - 2016,ME,2016,180,165,15,0,0,143,27,10,0,0,0,0,0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.7944444444444444,0.15,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
208,208,MI - 2016,MI,2016,9078,7570,1401,95,12,4308,3876,304,24,29,0,9,2,0.8338841154439304,0.1543291473892928,0.010464860101343908,0.001321877065432915,0.4745538664904164,0.42696629213483145,0.033487552324300514,0.002643754130865829,0.003194536241462877,0.0,0.000991407799074686,0.00022031284423881909
219,219,MN - 2016,MN,2016,3679,3193,479,7,0,1214,656,426,148,83,3,27,0,0.8678988855667301,0.13019842348464256,0.0019026909486273445,0.0,0.3299809730905137,0.17830932318564827,0.11579233487360695,0.04022832291383528,0.022560478390867084,0.0008154389779831476,0.0073389508018483285,0.0
230,230,MO - 2016,MO,2016,4794,4169,579,42,4,2204,2482,83,2,20,2,0,0,0.8696287025448477,0.12077596996245307,0.00876095118898623,0.0008343763037129745,0.459741343345849,0.5177304964539007,0.017313308302044222,0.00041718815185648727,0.004171881518564873,0.00041718815185648727,0.0,0.0
241,241,MS - 2016,MS,2016,7357,6425,894,38,0,2822,3987,75,1,9,1,15,0,0.8733179285034661,0.1215169226586924,0.005165148837841511,0.0,0.3835802636944407,0.5419328530651081,0.010194372706266141,0.00013592496941688191,0.0012233247247519367,0.00013592496941688191,0.0020388745412532284,0.0
252,252,MT - 2016,MT,2016,952,848,96,6,2,659,30,32,224,3,2,0,0,0.8907563025210085,0.10084033613445377,0.0063025210084033615,0.0021008403361344537,0.6922268907563025,0.031512605042016806,0.03361344537815126,0.2352941176470588,0.0031512605042016808,0.0021008403361344537,0.0,0.0
263,263,NC - 2016,NC,2016,8609,7310,1074,201,24,3096,4889,526,61,19,2,0,0,0.8491113950516901,0.12475316529213612,0.023347659426181902,0.002787780229991869,0.3596236496689511,0.5678940643512603,0.06109885004065513,0.007085608084562667,0.0022069926820768963,0.00023231501916598905,0.0,0.0
274,274,ND - 2016,ND,2016,884,762,122,0,0,461,138,79,170,1,0,0,0,0.8619909502262444,0.13800904977375567,0.0,0.0,0.5214932126696833,0.15610859728506787,0.08936651583710407,0.19230769230769232,0.0011312217194570135,0.0,0.0,0.0
285,285,NE - 2016,NE,2016,1468,1269,199,0,0,644,515,249,42,18,0,0,0,0.8644414168937329,0.13555858310626706,0.0,0.0,0.43869209809264303,0.3508174386920981,0.16961852861035426,0.028610354223433238,0.01226158038147139,0.0,0.0,0.0
296,296,NH - 2016,NH,2016,983,807,176,0,0,489,66,16,4,2,0,0,0,0.8209562563580874,0.1790437436419125,0.0,0.0,0.4974567650050865,0.0671414038657172,0.01627670396744659,0.004069175991861648,0.002034587995930824,0.0,0.0,0.0
307,307,NJ - 2016,NJ,2016,11093,10039,1053,1,0,2589,5254,2750,22,119,11,15,0,0.9049851257549806,0.09492472730550798,9.014693951140357e-05,0.0,0.2333904263950239,0.4736320201929145,0.2479040836563599,0.001983232669250879,0.010727485801857029,0.0009916163346254394,0.0013522040926710539,0.0
318,318,NM - 2016,NM,2016,2766,2404,352,9,1,912,103,1450,237,10,0,22,0,0.8691250903832248,0.1272595806218366,0.0032537960954446853,0.0003615328994938539,0.3297180043383948,0.037237888647866965,0.5242227042660882,0.08568329718004339,0.0036153289949385392,0.0,0.007953723788864787,0.0
329,329,NV - 2016,NV,2016,6132,5039,1072,21,0,2772,1974,1174,56,125,13,0,0,0.8217547292889759,0.17482061317677755,0.003424657534246575,0.0,0.4520547945205479,0.3219178082191781,0.19145466405740375,0.0091324200913242,0.020384866275277237,0.0021200260926288322,0.0,0.0
340,340,NY - 2016,NY,2016,15760,14151,1331,257,21,3227,8491,3504,35,172,1,2,291,0.8979060913705583,0.08445431472081218,0.016307106598984773,0.00133248730964467,0.20475888324873096,0.5387690355329949,0.22233502538071065,0.0022208121827411173,0.010913705583756345,6.345177664974621e-05,0.00012690355329949242,0.018464467005076143
351,351,OH - 2016,OH,2016,10945,8884,2054,6,1,6844,3755,233,1,10,0,57,0,0.8116948378254911,0.18766560073092736,0.0005481955230698949,9.136592051164915e-05,0.6253083599817268,0.3430790315212426,0.02128825947921425,9.136592051164915e-05,0.0009136592051164917,0.0,0.0052078574691640026,0.0
362,362,OK - 2016,OK,2016,5958,4899,1019,36,4,3474,1538,399,427,23,40,18,0,0.8222557905337362,0.17103054716347768,0.006042296072507553,0.000671366230278617,0.5830815709969789,0.25814031554212824,0.06696878147029205,0.07166834508224236,0.0038603558241020477,0.006713662302786171,0.0030211480362537764,0.0
373,373,OR - 2016,OR,2016,2600,2139,461,0,0,1687,377,270,39,47,2,0,0,0.8226923076923077,0.1773076923076923,0.0,0.0,0.6488461538461539,0.145,0.10384615384615384,0.015,0.01807692307692308,0.0007692307692307692,0.0,0.0
384,384,PA - 2016,PA,2016,29725,25644,3951,127,3,12613,12729,3801,19,134,4,24,0,0.8627081581160639,0.1329184188393608,0.004272497897392767,0.00010092514718250632,0.424322960470984,0.4282253994953743,0.1278721614802355,0.0006391925988225401,0.004507989907485282,0.00013456686291000842,0.0008074011774600505,0.0
395,395,SC - 2016,SC,2016,5651,4959,643,48,1,2272,3019,302,4,9,1,3,0,0.8775437975579543,0.11378517076623608,0.008494071845691028,0.00017695983011856308,0.40205273402937536,0.5342417271279419,0.053441868695806055,0.0007078393204742522,0.0015926384710670677,0.00017695983011856308,0.0005308794903556894,0.0
406,406,SD - 2016,SD,2016,1145,908,237,0,0,514,94,60,470,7,0,0,0,0.7930131004366813,0.2069868995633188,0.0,0.0,0.4489082969432314,0.08209606986899562,0.052401746724890834,0.4104803493449782,0.006113537117903929,0.0,0.0,0.0
417,417,TN - 2016,TN,2016,21065,17626,3403,36,0,12272,8408,276,7,30,0,1,60,0.8367434132447187,0.16154759079041064,0.0017089959648706385,0.0,0.5825777355803465,0.3991455020175647,0.013102302397341562,0.0003323047709470686,0.0014241633040588653,0.0,4.7472110135295505e-05,0.0028483266081177306
428,428,TX - 2016,TX,2016,54521,46599,7434,376,112,19463,16117,17720,25,220,5,27,288,0.8546981896883771,0.13635113075695604,0.006896425230645073,0.0020542543240219366,0.3569817134682049,0.29561086553804955,0.32501238055061354,0.00045853891161203936,0.004035142422185947,9.170778232240789e-05,0.0004952220245410025,0.005282368261770694
439,439,UT - 2016,UT,2016,4904,4022,882,0,0,3480,325,755,129,123,22,16,0,0.8201468189233279,0.17985318107667211,0.0,0.0,0.7096247960848288,0.06627243066884178,0.15395595432300166,0.02630505709624796,0.0250815660685155,0.004486133768352365,0.0032626427406199023,0.0
450,450,VA - 2016,VA,2016,25018,20971,4025,22,0,11724,11521,826,14,96,2,0,0,0.8382364697417859,0.16088416340235032,0.0008793668558637781,0.0,0.4686225917339515,0.4605084339275721,0.03301622831561276,0.0005595970900951317,0.0038372371892237593,7.994244144216165e-05,0.0,0.0
461,461,WA - 2016,WA,2016,9352,7915,1406,31,0,5682,1730,1189,346,303,1,0,0,0.8463430282292558,0.1503421727972626,0.0033147989734816077,0.0,0.6075705731394354,0.18498716852010266,0.12713857998289135,0.03699743370402053,0.032399486740804104,0.000106928999144568,0.0,0.0
472,472,WI - 2016,WI,2016,7676,6491,1134,47,4,4008,2880,485,176,87,0,2,0,0.8456227201667535,0.14773319437206878,0.006122980719124544,0.0005211047420531526,0.522146951537259,0.3751954142782699,0.06318394997394476,0.02292860865033872,0.011334028139656073,0.0,0.0002605523710265763,0.0
483,483,WV - 2016,WV,2016,4171,3338,833,0,0,3571,528,37,3,1,1,22,0,0.8002877007911772,0.19971229920882286,0.0,0.0,0.8561496044114121,0.12658834811795733,0.008870774394629586,0.0007192519779429394,0.00023975065931431308,0.00023975065931431308,0.005274514504914889,0.0
494,494,WY - 2016,WY,2016,495,398,97,0,0,416,37,19,14,4,0,0,0,0.8040404040404041,0.195959595959596,0.0,0.0,0.8404040404040404,0.07474747474747474,0.03838383838383838,0.02828282828282828,0.008080808080808079,0.0,0.0,0.0
