,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
7,7,AL - 2015,AL,2015,6822,5863,916,41,2,3155,3166,344,13,21,3,66,0,0.8594253884491352,0.13427147464086778,0.006009967751392554,0.0002931691586045148,0.4624743476986221,0.464086778070947,0.05042509527997655,0.0019055995309293465,0.003078276165347405,0.0004397537379067722,0.009674582233948988,0.0
18,18,AR - 2015,AR,2015,3108,2485,610,13,0,1338,516,79,10,6,0,0,111,0.7995495495495496,0.19626769626769627,0.004182754182754183,0.0,0.4305019305019305,0.16602316602316602,0.02541827541827542,0.0032175032175032173,0.0019305019305019305,0.0,0.0,0.03571428571428571
29,29,AZ - 2015,AZ,2015,11734,9968,1682,81,3,5474,2435,2873,836,57,1,0,0,0.8494971876597921,0.14334412817453554,0.006903016874041248,0.0002556672916311573,0.4665075847963184,0.207516618373956,0.244844042952105,0.07124595193454918,0.004857678540991989,8.522243054371909e-05,0.0,0.0
42,42,CA - 2015,CA,2015,65345,56871,8474,0,0,19701,13653,28009,531,1436,284,160,1017,0.8703190756752621,0.12968092432473793,0.0,0.0,0.3014920804958298,0.20893717958527813,0.42863264213023183,0.008126099931134747,0.0219756676103757,0.00434616267503252,0.002448542352130997,0.01556354732573265
53,53,CO - 2015,CO,2015,9184,7718,1466,0,0,4501,1846,1756,74,59,9,16,778,0.8403745644599303,0.1596254355400697,0.0,0.0,0.4900914634146342,0.20100174216027875,0.1912020905923345,0.008057491289198606,0.006424216027874565,0.000979965156794425,0.0017421602787456446,0.08471254355400698
64,64,DC - 2015,DC,2015,1803,1664,107,32,0,49,1645,81,0,4,0,0,4,0.9229062673322241,0.05934553521907932,0.01774819744869662,0.0,0.02717692734331669,0.9123682750970604,0.04492512479201331,0.0,0.0022185246810870773,0.0,0.0,0.0022185246810870773
75,75,FL - 2015,FL,2015,46169,38667,7028,456,18,20797,18819,4591,11,73,57,9,1,0.8375100175442396,0.15222335333232254,0.009876757131408521,0.00038987199202928367,0.4504537676796119,0.40761116766661615,0.09943901752258008,0.00023825510624011782,0.0015811475232298726,0.0012345946414260651,0.00019493599601464183,2.1659555112737987e-05
86,86,GA - 2015,GA,2015,29443,25640,3566,214,23,10904,15494,1948,1,367,14,401,2,0.8708351730462249,0.12111537547124955,0.0072682810854872125,0.0007811703970383452,0.3703426960567877,0.5262371361613966,0.06616173623611725,3.396393030601501e-05,0.01246476242230751,0.00047549502428421015,0.01361953605271202,6.792786061203002e-05
97,97,IA - 2015,IA,2015,1995,1713,274,8,0,1247,525,160,39,24,0,0,0,0.8586466165413534,0.13734335839598996,0.0040100250626566416,0.0,0.625062656641604,0.2631578947368421,0.08020050125313283,0.019548872180451128,0.012030075187969927,0.0,0.0,0.0
108,108,ID - 2015,ID,2015,2511,1968,542,1,0,1836,83,487,79,17,0,2,0,0.7837514934289128,0.2158502588610116,0.0003982477100756671,0.0,0.7311827956989247,0.03305455993628036,0.19394663480684987,0.0314615690959777,0.0067702110712863405,0.0,0.0007964954201513341,0.0
119,119,IL - 2015,IL,2015,13299,12206,1091,2,0,3174,7923,2004,17,63,3,57,0,0.9178133694262728,0.08203624332656591,0.0001503872471614407,0.0,0.2386645612452064,0.5957590796300474,0.1506880216557636,0.001278291600872246,0.004737198285585382,0.00022558087074216104,0.00428603654410106,0.0
130,130,IN - 2015,IN,2015,8809,7327,1423,56,3,5125,2892,500,19,18,2,11,0,0.8317629696900897,0.16153933477125668,0.006357134748552617,0.00034056079010103305,0.5817913497559314,0.32830060165739583,0.056760131683505514,0.002156885003973209,0.002043364740606198,0.000227040526734022,0.001248722897037121,0.0
141,141,KS - 2015,KS,2015,3285,2794,491,0,0,1877,1000,370,18,12,0,8,0,0.8505327245053272,0.14946727549467276,0.0,0.0,0.5713850837138509,0.30441400304414,0.1126331811263318,0.0054794520547945215,0.00365296803652968,0.0,0.0024353120243531205,0.0
152,152,KY - 2015,KY,2015,12158,10023,2135,0,0,7855,3577,618,5,22,1,2,0,0.8243954597795691,0.17560454022043098,0.0,0.0,0.646076657344958,0.2942095739430827,0.050830728738279325,0.00041125185063332784,0.0018095081427866426,8.225037012666557e-05,0.00016450074025333114,0.0
163,163,LA - 2015,LA,2015,25289,22630,2522,123,14,9895,13159,1034,62,46,2,22,14,0.8948554707580371,0.09972715409861996,0.004863774763731265,0.0005536003796116889,0.3912768397326901,0.5203448139507295,0.04088734232274902,0.0024516588239946228,0.0018189726758669773,7.908576851595555e-05,0.0008699434536755111,0.0005536003796116889
174,174,MA - 2015,MA,2015,10337,9764,572,1,0,4369,1834,2494,11,57,8,131,26,0.9445680564960821,0.05533520363741898,9.673986649898424e-05,0.0,0.4226564767340621,0.17742091515913708,0.2412692270484667,0.0010641385314888263,0.005514172390442101,0.0007739189319918737,0.012672922511366936,0.00251523652897359
