,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
4,4,AL - 2012,AL,2012,7998,6840,1069,82,5,2787,3727,100,2,2,0,2,18,0.8552138034508627,0.1336584146036509,0.010252563140785195,0.0006251562890722679,0.34846211552888223,0.4659914978744686,0.012503125781445362,0.00025006251562890725,0.00025006251562890725,0.0,0.00025006251562890725,0.002250562640660165
15,15,AR - 2012,AR,2012,3084,2571,485,24,4,1475,1388,96,4,4,1,97,0,0.8336575875486382,0.1572632944228275,0.007782101167315175,0.0012970168612191958,0.4782749675745785,0.45006485084306097,0.0311284046692607,0.0012970168612191958,0.0012970168612191958,0.00032425421530479895,0.0314526588845655,0.0
26,26,AZ - 2012,AZ,2012,12738,10500,2110,119,9,5429,1573,4636,900,92,1,3,55,0.8243052284503062,0.16564609828858534,0.009342125922436805,0.000706547338671691,0.4262050557387345,0.1234887737478411,0.3639503846757733,0.0706547338671691,0.007222483906421729,7.850525985241009e-05,0.00023551577955723037,0.004317789291882556
39,39,CA - 2012,CA,2012,76667,66530,10125,12,0,19679,14693,29002,366,1176,244,13,1614,0.8677788357441925,0.13206464319720349,0.00015652105860409303,0.0,0.25668149268916224,0.1916469928391616,0.3782853118029922,0.004773892287424838,0.015339063743201115,0.003182594858283225,0.00016956448015443412,0.021052082382250512
50,50,CO - 2012,CO,2012,9525,8170,1351,4,0,3021,949,1174,32,47,2,10,906,0.8577427821522309,0.14183727034120736,0.00041994750656167986,0.0,0.31716535433070864,0.09963254593175852,0.12325459317585302,0.003359580052493439,0.0049343832020997385,0.00020997375328083993,0.0010498687664041997,0.09511811023622048
61,61,DC - 2012,DC,2012,2520,2300,196,24,0,74,2270,142,0,4,0,0,30,0.9126984126984128,0.07777777777777778,0.009523809523809523,0.0,0.02936507936507936,0.9007936507936508,0.05634920634920635,0.0,0.0015873015873015873,0.0,0.0,0.011904761904761904
72,72,FL - 2012,FL,2012,52846,44164,7840,587,33,22966,17566,2765,19,62,1,0,24,0.8357113121144457,0.14835559928849865,0.011107747038564887,0.0006244559663929152,0.434583506793324,0.33239980320175605,0.052321840820497297,0.0003595352533777391,0.0011732203004957804,1.8922908072512586e-05,0.0,0.00045414979374030194
83,83,GA - 2012,GA,2012,31942,27180,3737,172,25,9187,15354,1644,7,136,2,38,0,0.8509172875837455,0.11699330035689688,0.005384759877277566,0.0007826685868135997,0.2876150522822616,0.4806837392774404,0.051468286268862316,0.00021914720430780792,0.004257717112265982,6.261348694508798e-05,0.0011896562519566715,0.0
94,94,IA - 2012,IA,2012,1882,1626,246,10,0,864,400,234,6,23,0,0,0,0.8639744952178533,0.13071200850159406,0.005313496280552604,0.0,0.4590860786397449,0.21253985122210411,0.12433581296493093,0.003188097768331562,0.012221041445270987,0.0,0.0,0.0
105,105,ID - 2012,ID,2012,2137,1696,441,0,0,1272,54,260,28,11,1,2,0,0.7936359382311652,0.2063640617688348,0.0,0.0,0.5952269536733739,0.025269068788020592,0.12166588675713615,0.013102480112306972,0.005147402901263453,0.0004679457182966776,0.0009358914365933552,0.0
116,116,IL - 2012,IL,2012,15316,13852,1337,117,10,3081,8955,2158,9,51,0,45,2,0.9044136850352572,0.0872943327239488,0.007639070253329851,0.0006529119874640897,0.20116218333768607,0.5846826847740925,0.14089840689475058,0.0005876207887176809,0.0033298511360668587,0.0,0.002938103943588404,0.00013058239749281798
127,127,IN - 2012,IN,2012,8554,7269,1216,67,2,4780,3362,362,2,14,3,13,0,0.8497778816927753,0.14215571662380172,0.007832592938975917,0.00023380874444704232,0.5588028992284312,0.3930324994154781,0.04231938274491466,0.00023380874444704232,0.0016366612111292965,0.0003507131166705634,0.001519756838905775,0.0
138,138,KS - 2012,KS,2012,3626,3126,498,2,0,1869,1237,408,7,52,11,5,0,0.8621070049641478,0.13734142305570876,0.0005515719801434088,0.0,0.5154440154440154,0.3411472697186983,0.11252068394925538,0.0019305019305019305,0.014340871483728625,0.003033645890788748,0.0013789299503585216,0.0
149,149,KY - 2012,KY,2012,11140,9095,1887,0,0,7511,2652,336,9,8,2,13,0,0.8164272890484742,0.16938958707360866,0.0,0.0,0.6742369838420108,0.23806104129263914,0.03016157989228007,0.0008078994614003589,0.000718132854578097,0.00017953321364452425,0.0011669658886894075,0.0
160,160,LA - 2012,LA,2012,21270,18898,2234,130,8,5964,13390,297,22,39,5,45,0,0.8884814292430654,0.10503055947343676,0.0061118946873530795,0.00037611659614480487,0.28039492242595204,0.6295251527973672,0.013963328631875882,0.0010343206393982132,0.0018335684062059238,0.00023507287259050302,0.002115655853314528,0.0
171,171,MA - 2012,MA,2012,10117,9265,523,40,1,3755,2052,2284,4,78,0,1,210,0.9157853118513394,0.05169516655134922,0.003953741227636651,9.884353069091629e-05,0.3711574577443906,0.2028269249777602,0.2257586240980528,0.00039537412276366516,0.00770979539389147,0.0,9.884353069091629e-05,0.020757141445092414
182,182,MD - 2012,MD,2012,7949,7081,765,95,8,2193,5464,87,3,8,0,0,129,0.8908038747012202,0.096238520568625,0.011951188828783495,0.0010064159013712416,0.2758837589633916,0.6873820606365579,0.010944772927412251,0.0003774059630142156,0.0010064159013712416,0.0,0.0,0.016228456409611267
193,193,ME - 2012,ME,2012,875,765,110,0,0,232,11,5,2,2,0,0,0,0.8742857142857143,0.12571428571428572,0.0,0.0,0.2651428571428571,0.012571428571428572,0.005714285714285714,0.002285714285714286,0.002285714285714286,0.0,0.0,0.0
204,204,MI - 2012,MI,2012,10962,9328,1447,178,9,4865,4870,426,14,35,1,2,10,0.8509396095602992,0.1320014595876665,0.016237912789636932,0.0008210180623973727,0.4438058748403576,0.4442619959861339,0.038861521620142316,0.001277139208173691,0.0031928480204342275,9.122422915526363e-05,0.00018244845831052726,0.0009122422915526364
215,215,MN - 2012,MN,2012,3972,3477,491,4,0,1672,843,258,268,79,2,23,138,0.8753776435045317,0.12361530715005035,0.0010070493454179257,0.0,0.4209466263846928,0.2122356495468278,0.0649546827794562,0.06747230614300101,0.019889224572004028,0.0005035246727089627,0.005790533736153071,0.03474320241691843
226,226,MO - 2012,MO,2012,4538,3874,512,147,5,1879,2349,228,0,13,2,10,7,0.8536800352578229,0.1128250330542089,0.032393124724548264,0.0011018069634200088,0.4140590568532393,0.5176289114147201,0.0502423975319524,0.0,0.002864698104892023,0.00044072278536800354,0.0022036139268400176,0.0015425297487880124
237,237,MS - 2012,MS,2012,5519,5073,413,32,1,1696,3010,76,0,20,0,8,0,0.919188258742526,0.07483239717340097,0.005798151839101286,0.0001811922449719152,0.30730204747236817,0.5453886573654647,0.013770610617865556,0.0,0.003623844899438304,0.0,0.0014495379597753216,0.0
248,248,MT - 2012,MT,2012,78,65,13,0,0,42,1,2,30,2,0,1,0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.5384615384615384,0.01282051282051282,0.02564102564102564,0.38461538461538464,0.02564102564102564,0.0,0.01282051282051282,0.0
259,259,NC - 2012,NC,2012,10231,8829,1115,258,29,3241,6057,694,201,16,0,5,3,0.8629654970188643,0.10898250415404163,0.025217476297527124,0.002834522529567002,0.3167823282181605,0.5920242400547356,0.06783305639722413,0.019646173394585086,0.0015638744990714494,0.0,0.000488710780959828,0.00029322646857589683
270,270,ND - 2012,ND,2012,518,449,58,8,3,300,24,31,157,1,0,5,0,0.8667953667953668,0.11196911196911197,0.015444015444015444,0.00579150579150579,0.5791505791505791,0.04633204633204633,0.05984555984555984,0.3030888030888031,0.0019305019305019305,0.0,0.009652509652509652,0.0
281,281,NE - 2012,NE,2012,1825,1595,230,0,0,776,679,293,59,12,0,0,5,0.873972602739726,0.12602739726027398,0.0,0.0,0.4252054794520548,0.372054794520548,0.16054794520547944,0.032328767123287666,0.006575342465753425,0.0,0.0,0.0027397260273972607
292,292,NH - 2012,NH,2012,712,610,100,2,0,305,9,9,1,3,0,0,0,0.8567415730337079,0.1404494382022472,0.002808988764044944,0.0,0.428370786516854,0.012640449438202249,0.012640449438202249,0.001404494382022472,0.004213483146067416,0.0,0.0,0.0
303,303,NJ - 2012,NJ,2012,13916,12688,1204,23,1,3314,6506,3026,6,124,10,2,55,0.9117562517964932,0.08651911468812877,0.0016527737855705662,7.185972980741592e-05,0.2381431445817764,0.467519402127048,0.2174475423972406,0.0004311583788444956,0.008910606496119574,0.0007185972980741593,0.00014371945961483184,0.003952285139407876
314,314,NM - 2012,NM,2012,4021,3617,363,34,7,1012,191,2176,470,3,2,67,83,0.8995274807261875,0.09027605073364836,0.00845560805769709,0.001740860482467048,0.2516786868938075,0.0475006217358866,0.5411589156926138,0.11688634667993035,0.0007460830639144492,0.0004973887092762996,0.01666252176075603,0.020641631434966425
325,325,NV - 2012,NV,2012,5024,4104,902,18,0,1908,1240,1085,70,99,0,0,3,0.8168789808917197,0.17953821656050956,0.0035828025477707007,0.0,0.3797770700636943,0.24681528662420385,0.21596337579617836,0.013933121019108279,0.019705414012738853,0.0,0.0,0.0005971337579617834
336,336,NY - 2012,NY,2012,20850,18329,1773,691,57,3995,10407,4812,56,138,0,85,407,0.8790887290167866,0.08503597122302159,0.03314148681055156,0.002733812949640288,0.19160671462829734,0.49913669064748206,0.2307913669064748,0.002685851318944844,0.006618705035971222,0.0,0.00407673860911271,0.019520383693045564
347,347,OH - 2012,OH,2012,12869,10668,1952,36,1,6081,5707,264,5,11,14,3,344,0.828968839847696,0.15168233739995338,0.0027974201569663532,7.770611547128758e-05,0.4725308881808998,0.4434688009946383,0.02051441448441992,0.00038853057735643794,0.0008547672701841634,0.0010878856165980264,0.0002331183464138628,0.02673090372212293
358,358,OK - 2012,OK,2012,5766,4818,758,57,4,2901,1749,490,256,27,12,37,47,0.8355879292403746,0.1314602844259452,0.009885535900104058,0.000693721817551162,0.5031217481789803,0.3033298647242456,0.08498092265001735,0.044398196323274366,0.004682622268470343,0.002081165452653486,0.006416926812348248,0.008151231356226153
369,369,OR - 2012,OR,2012,3689,3113,575,1,0,2447,439,491,42,57,2,0,1,0.8438601246950393,0.15586879913255625,0.0002710761724044456,0.0,0.6633233938736786,0.11900243968555164,0.13309840065058282,0.011385199240986715,0.015451341827053404,0.0005421523448088912,0.0,0.0002710761724044456
380,380,PA - 2012,PA,2012,32987,28791,4049,143,4,13936,14273,4164,20,199,1,9,209,0.8727983751174705,0.12274532391548185,0.004335041076787826,0.00012125989025979931,0.4224694576651408,0.4326856034195289,0.1262315457604511,0.0006062994512989966,0.0060326795404250155,3.0314972564949827e-05,0.00027283475308454845,0.006335829266074514
391,391,SC - 2012,SC,2012,8098,7081,956,55,6,2950,4566,295,12,9,1,0,0,0.8744134354161521,0.1180538404544332,0.006791800444554211,0.0007409236848604594,0.36428747838972586,0.5638429241788095,0.03642874783897258,0.0014818473697209187,0.001111385527290689,0.00012348728081007656,0.0,0.0
402,402,SD - 2012,SD,2012,1269,994,274,1,0,579,90,48,540,8,0,0,3,0.7832939322301025,0.21591804570527973,0.0007880220646178094,0.0,0.4562647754137116,0.07092198581560284,0.03782505910165485,0.425531914893617,0.006304176516942475,0.0,0.0,0.0023640661938534283
413,413,TN - 2012,TN,2012,16296,12418,2149,49,1,6028,4362,341,2,10,44,193,0,0.7620274914089347,0.13187285223367698,0.003006872852233677,6.136475208640157e-05,0.3699067255768287,0.26767304860088365,0.02092538046146293,0.00012272950417280314,0.0006136475208640157,0.002700049091801669,0.011843397152675504,0.0
424,424,TX - 2012,TX,2012,50234,38628,6068,355,74,14622,13115,13372,11,168,14,47,22,0.7689612612971294,0.1207946808934188,0.007066926782657164,0.0014731058645538876,0.2910777561014453,0.2610781542381654,0.266194211092089,0.00021897519608233464,0.003344348449257475,0.0002786957041047896,0.0009356212923517936,0.0004379503921646693
435,435,UT - 2012,UT,2012,4797,3974,814,9,0,2576,92,882,153,46,73,0,4,0.8284344381905357,0.16968938920158433,0.001876172607879925,0.0,0.537002293099854,0.019178653324994792,0.18386491557223264,0.03189493433395872,0.009589326662497394,0.015217844486137168,0.0,0.0008338544923910778
