,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
5,5,AL - 2013,AL,2013,8683,5275,764,38,1,2734,4718,220,1,19,0,1,0,0.6075089254865831,0.0879880225728435,0.00437636761487965,0.00011516756881262236,0.31486813313370954,0.5433605896579523,0.025336865138776917,0.00011516756881262236,0.002188183807439825,0.0,0.00011516756881262236,0.0
16,16,AR - 2013,AR,2013,2681,2226,444,11,0,1383,1092,71,6,12,0,1,0,0.8302872062663186,0.16560984707198806,0.004102946661693398,0.0,0.5158522939201791,0.4073107049608355,0.02648265572547557,0.002237970906378217,0.004475941812756434,0.0,0.0003729951510630362,0.0
27,27,AZ - 2013,AZ,2013,13004,11066,1800,129,9,5627,1707,4190,924,91,22,22,0,0.8509689326361122,0.13841894801599508,0.00992002460781298,0.0006920947400799754,0.4327130113811135,0.131267302368502,0.32220855121501074,0.07105505998154414,0.006997846816364195,0.0016917871424177175,0.0016917871424177175,0.0
40,40,CA - 2013,CA,2013,81538,67696,10431,12,0,21885,14153,31946,495,1128,304,114,867,0.8302386617282741,0.12792808261178834,0.0001471706443621379,0.0,0.268402462655449,0.17357551080477815,0.3917927837327381,0.006070789079938188,0.013834040570040965,0.003728322990507493,0.00139812112144031,0.010633079055164463
51,51,CO - 2013,CO,2013,9822,8273,1549,0,0,3077,963,1109,29,44,8,5,901,0.8422928120545714,0.15770718794542862,0.0,0.0,0.31327631846874365,0.09804520464263898,0.11290979433923845,0.0029525554876807174,0.004479739360619018,0.0008144980655670943,0.0005090612909794339,0.091732844634494
62,62,DC - 2013,DC,2013,2476,2302,151,22,1,69,2252,123,0,5,0,0,21,0.9297253634894992,0.06098546042003231,0.008885298869143781,0.0004038772213247173,0.02786752827140549,0.9095315024232632,0.04967689822294023,0.0,0.0020193861066235864,0.0,0.0,0.008481421647819062
73,73,FL - 2013,FL,2013,50355,42259,7634,444,18,20180,15074,1573,23,58,19,10,63,0.839221527157184,0.1516036143381988,0.008817396484956806,0.000357462019660411,0.4007546420415053,0.29935458246450203,0.03123820871810148,0.00045675702512163634,0.0011518220633502136,0.0003773210207526561,0.0001985900109224506,0.0012511170688114387
84,84,GA - 2013,GA,2013,28634,23062,3681,147,29,8820,12995,1336,4,115,2,162,1,0.8054061605084865,0.12855346790528746,0.005133757072012293,0.0010127820074037855,0.3080254243207376,0.45383110986938596,0.046657819375567504,0.00013969406998672903,0.00401620451211846,6.984703499336453e-05,0.005657609834462527,3.4923517496682256e-05
95,95,IA - 2013,IA,2013,2023,1742,271,9,1,956,375,223,28,30,0,0,0,0.8610973801285219,0.13395946613939694,0.004448838358872961,0.0004943153732081066,0.4725654967869501,0.18536826495304004,0.1102323282254078,0.01384083044982699,0.014829461196243203,0.0,0.0,0.0
106,106,ID - 2013,ID,2013,2030,1563,467,0,0,1055,52,256,15,10,1,3,0,0.7699507389162562,0.23004926108374385,0.0,0.0,0.5197044334975369,0.02561576354679803,0.12610837438423644,0.007389162561576354,0.0049261083743842365,0.0004926108374384236,0.001477832512315271,0.0
117,117,IL - 2013,IL,2013,16662,14984,1553,122,3,3746,10015,2403,13,74,0,53,0,0.8992918017044772,0.09320609770735806,0.007322050174048735,0.00018005041411595248,0.2248229504261193,0.6010682991237547,0.14422038170687793,0.0007802184611691274,0.004441243548193494,0.0,0.003180890649381827,0.0
128,128,IN - 2013,IN,2013,8079,5861,1161,50,2,3289,1877,212,5,9,4,0,5,0.7254610719148409,0.14370590419606388,0.0061888847629657144,0.0002475553905186285,0.40710483970788464,0.2323307340017329,0.026240871394974625,0.0006188884762965714,0.0011139992573338284,0.0004951107810372571,0.0,0.0006188884762965714
139,139,KS - 2013,KS,2013,3996,3461,529,5,1,1904,1217,603,18,26,0,2,1,0.8661161161161162,0.13238238238238234,0.0012512512512512512,0.00025025025025025025,0.4764764764764765,0.3045545545545545,0.15090090090090091,0.0045045045045045045,0.0065065065065065065,0.0,0.0005005005005005005,0.00025025025025025025
150,150,KY - 2013,KY,2013,10343,8469,1874,0,0,6206,1744,352,2,13,1,7,0,0.8188146572561152,0.1811853427438848,0.0,0.0,0.6000193367494924,0.16861645557381805,0.03403267910664217,0.00019336749492410325,0.0012568887170066713,9.668374746205164e-05,0.0006767862322343614,0.0
161,161,LA - 2013,LA,2013,21595,17512,2173,143,7,4431,10091,257,24,38,1,2,0,0.8109284556610327,0.10062514470942348,0.006621903218337578,0.0003241491085899513,0.2051863857374392,0.4672840935401714,0.0119009029868025,0.0011113683723084048,0.0017596665894883074,4.63070155128502e-05,9.26140310257004e-05,0.0
